"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"1762599_s_at",10.2337425258776,10.2912361649404,9.67069270915203,9.59261971004704,10.4014718753163,10.4355912740901,8.96400573246716,9.43536466338952
"1759531_s_at",10.9217780294485,10.8305257269425,11.3484102634111,11.3595991839087,10.7331295798455,10.6096375899877,11.2444261502667,11.4596668859159
"1762204_s_at",10.0103566449652,10.6064110845679,10.065587516104,9.98075369396144,10.1769417568338,10.3081370449222,9.39969457209341,9.60270140172967
"1761196_s_at",8.55073476680711,8.43131676650125,8.69657320632936,8.16017768784845,9.02235914579612,9.44516541291355,6.53159605113649,8.07070137310741
"1765765_s_at",10.3797977368125,10.7103812631134,10.4393082159043,10.3346991488058,12.2135075351067,12.3699744198677,12.1886679206258,12.2971303234087
"1761738_s_at",11.0394602197095,10.8812274358449,11.1584585751222,11.0229022504998,10.5606907876272,10.4099278102654,10.0636414014181,10.4153945656206
"1764922_s_at",9.69868434398985,9.65702055989988,10.3599868394476,10.046532974354,9.39619669340006,9.58497748884535,8.80699647889132,8.98245091694724
"1764884_at",10.6088189016383,10.7396579977212,10.4475247588959,10.2337940033777,10.7495797300593,10.9086068014033,10.0039620395453,10.279349063083
"1759807_s_at",9.99096607925196,10.1091736228178,9.20521358187561,9.18886837553501,10.1799949515551,10.1948061937417,8.66554689065697,9.27291404142161
"1761624_s_at",10.8491732210831,10.8029779451892,11.5276571672385,11.3560540639644,10.5006092829434,10.4359520638991,11.2383444989274,11.3363332531741
"1759504_s_at",9.28163305851781,9.77277360741023,9.06387950397252,8.13761559478306,9.37721488356334,9.83198672054637,6.5017874522155,8.05994704605408
"1764532_s_at",10.6962999081437,10.527889558683,10.0808026352725,9.62296525629094,10.57275302017,10.3403222353689,9.57119429419631,9.9434182638842
"1762951_s_at",10.9640183755978,10.8553843125346,10.0551820599146,9.78716187535803,11.0094407776379,11.0038240888576,9.59174833962735,9.90951110004032
"1762701_s_at",10.8615376969303,10.9196146673766,10.7641433235583,10.9234992761393,11.3096166806699,10.6602468181347,11.7385132134508,11.3046240469759
"1764096_s_at",10.0803554977603,9.90897578202217,10.969114417086,11.0503201774162,9.96712651296544,9.94507342300087,10.1027024202806,11.2334034164472
"1762960_s_at",9.90443988943869,9.97155019972973,9.34803882789776,9.27877973433239,9.6366146353753,9.67054849828415,8.07801132681957,8.82387484701866
"1767039_at",10.4336900864262,10.43603730135,9.97391504087053,9.74276018044951,10.374917266249,10.3936256468664,9.29882025718749,9.63080734096533
"1769097_at",10.0054171202267,10.0541611079005,10.9806876098923,10.5545801333113,10.1058778674765,10.0875557892894,9.81266739506923,10.5034774925211
"1768092_s_at",10.5574788615297,10.7232276750109,10.3480029015649,10.1325802430572,10.7239749635799,10.762309284316,9.24100034945323,9.7673516826336
"1765485_s_at",11.2980031228806,11.4737501213211,10.3504276156406,10.2274829000437,11.1000615393432,11.2106505817335,10.1975765202189,10.5149525942231
"1760808_s_at",10.5425910968072,10.5013574998071,9.76477647463994,9.7169252429927,10.483907133386,10.6349002705885,9.58827118051236,9.81060296626439
"1763902_s_at",10.2250530060991,10.8445105976397,9.74234161667947,9.55962671875291,10.3681527690499,10.8086104230217,8.3804475408027,9.47914237912594
"1761946_at",10.90108664807,11.3921815604637,11.829700913071,11.748724536904,11.0789826039096,10.9021428567169,11.1612480348032,11.5842168747876
"1767453_at",10.4859348862876,10.6842588553378,9.49596734916556,9.32929807179885,10.625665423678,10.6727374776356,8.55897497216679,9.49522823992215
"1766422_s_at",10.2343398303274,10.0551206895125,9.27322325473122,9.24197570632703,10.1725798662266,10.2228451482226,8.34094886457864,9.12782509677617
"1760098_s_at",10.3336787005744,10.5573217075402,9.87965291007887,9.79865278804892,10.6268310503136,10.7173499592603,9.87967788822016,9.88195504310318
"1760452_s_at",10.4616680862812,10.7580359749917,10.0867226682049,9.94947846781913,10.594554965101,10.7694220595125,9.78214358649259,10.0155366090483
"1763167_s_at",10.814839487209,10.7117718176573,10.1065949920812,10.1231473915688,10.6900594165672,10.6938223571113,10.0320414222947,10.240016617024
"1763111_s_at",10.9086168550149,11.1902122601982,10.2217734973157,10.121654968598,10.8139377104305,11.0386596895714,9.92530703387778,10.3028190989367
"1768079_at",11.2571175234089,11.5574540444204,12.8564572967996,12.6260923002511,11.8994029509671,10.850085489658,12.4248554551261,12.5588531468171
"1759339_at",11.3788744175677,11.580516128599,10.9963886147562,10.7252334049949,11.4848812040763,11.4606429400473,10.6337133165661,11.2024321681968
"1760014_at",9.26903596789844,9.2568429832891,8.80051393586786,7.95247534420268,9.55091867722537,9.50716840266296,6.78461875694378,8.72320381873727
"1759276_s_at",9.73264631593427,9.10156054775929,8.7343781418545,8.03328376679743,9.46342443797651,9.12152978926375,7.77401653912462,8.99049850484818
"1760525_at",11.0991450567168,11.2324369371977,10.4843034699754,10.4878973491396,10.8248138235279,10.7392574358354,9.99479034202505,10.3292889840266
"1759929_s_at",10.5111318412089,10.5034499882501,9.78155833065958,9.58605230483082,10.5425603592649,10.5027044077961,9.01978242660059,9.29805540813449
