"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"1759068_at",5.95834851924299,5.91068464530172,6.1095992026401,6.06878604050019,5.97949607012793,5.61197237300104,7.66850642370145,6.31526312614562
"1759069_at",10.9833872905461,11.0740869204809,11.2910112341212,11.3340246453523,10.7624989340048,10.6030438422213,11.0531875467199,11.1562826915208
"1759070_s_at",10.4819528830564,10.5848421546684,10.7004177409771,10.7418856409388,10.5589972046241,10.6902982707455,10.6502975249169,10.6480336777628
"1759071_s_at",10.3004919904919,10.6309172213757,10.2295067306919,10.2817619648394,10.6591523032649,10.6813667216237,9.59202837692213,10.1131751011962
"1759072_s_at",5.93049086838773,5.79645154825277,5.63921090085925,5.9659353162219,5.41666919904923,5.64737763394058,7.02412816303853,5.96080826146496
"1759073_at",10.2593658346533,10.432016584451,10.3848357619441,10.3615717207611,10.6072583519713,10.6780944338697,10.2635277115685,10.3502315847026
"1759074_at",10.3695478153546,10.4840644756686,9.84784978921734,9.54636167462417,10.5969783848857,10.3365030741546,8.96180236930773,9.74520604370251
"1759075_at",10.6322139154416,10.9222960756669,9.98156122837585,10.2743055232476,10.4678217018956,10.7344663211682,10.4382575303793,10.3272414386124
"1759076_s_at",11.1152625383806,11.0408552434996,10.6021072205233,10.5087051654367,11.1386003375561,10.921599831127,10.3844678214486,10.6357152875519
"1759077_s_at",3.96038920555599,3.84118237528657,4.19252717346345,4.07830029894815,3.60030790614966,3.3774785013073,4.45270043296575,4.15861228634494
"1759078_at",3.83548959335494,3.60157133258656,3.60157133258656,4.2600378947346,3.45915147416466,4.12984865198382,4.50265438416218,3.99382795830936
"1759079_at",5.92757739848234,5.72658429824513,6.11427806281601,6.23520971755038,5.82871461913576,6.04255997391793,7.35980443222487,6.74639342374904
"1759080_s_at",5.36992039697114,5.11341072975007,5.18028247528544,6.01056199576064,5.37645137150107,5.22872274364256,5.97089140648719,5.6562226622038
"1759081_s_at",10.2318458162838,10.1139084562285,9.31430430149178,8.81619725732782,10.2863371043726,10.0505246556919,8.79647423945663,9.44126122412133
"1759082_s_at",10.7318659595019,10.8655331749836,10.3261765823885,10.1501867211066,11.0869357176267,10.9723280308903,9.81901700295413,10.2426061985164
"1759083_at",11.7633356509001,11.674374309146,11.8855826662127,11.8992284986911,11.7862000117974,11.3942640170425,11.6523674497497,11.8774514661607
"1759084_s_at",10.7885596476938,10.7606250866513,10.6271125449749,10.6934461648939,10.9123362194275,10.8535089042822,10.4948524611702,10.7369069477017
